listing_id,price_raw,square_feet,bedrooms,bathrooms,ad_spend_usd,impressions,clicks,leads_converted,description
lst_1000,$399671,2389,4,2.0,1499.7814045052803,4454,90,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1001,$336173,1724,2,1.5,53.16700714301072,15182,137,0,Modern downtown condo with state-of-the-art kitchen features.
lst_1002,$414768,1590,1,2.5,976.0753223745876,4822,452,0,Beautiful family house in the suburbs with a large green garden.
lst_1003,$502302,1998,2,2.5,254.80336213850813,17872,182,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1004,$326584,1914,5,1.5,1384.910798230625,9011,494,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1005,$326586,1773,2,1.0,185.7676953337624,3335,347,0,Luxury penthouse overlooking the city skyline with a private balcony.
lst_1006,$507921,2348,4,1.5,1434.841621333043,4676,256,1,Modern downtown condo with state-of-the-art kitchen features.
lst_1007,$426743,2477,1,1.5,935.843261851043,1200,19,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1008,$303052,2044,4,1.0,51.83871152746086,8964,227,0,Beautiful family house in the suburbs with a large green garden.
lst_1009,$404256,2738,1,1.0,1346.310436979369,8808,383,0,Beautiful family house in the suburbs with a large green garden.
lst_1010,$303658,1429,5,2.0,806.4821119820316,19016,205,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1011,$303427,1903,1,2.0,430.8711162292026,17265,111,0,Beautiful family house in the suburbs with a large green garden.
lst_1012,$374196,1641,1,1.0,1162.5548073976636,14539,254,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1013,$158671,1066,1,2.5,1393.6650531359614,11850,441,0,Beautiful family house in the suburbs with a large green garden.
lst_1014,$177508,1958,2,2.5,751.3516935628512,9881,413,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1015,$293771,1939,2,1.5,507.55253794251075,5095,93,1,Cozy cottage nestled in the woods near a quiet lake.
lst_1016,$248716,2756,5,3.0,1193.9704297056437,17985,129,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1017,$381424,2315,1,1.5,1038.5889717932591,12086,117,0,Beautiful family house in the suburbs with a large green garden.
lst_1018,$259197,1487,3,1.5,1338.691101437895,12610,473,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1019,$208769,2927,5,3.0,1054.1453185037299,19564,141,1,Luxury penthouse overlooking the city skyline with a private balcony.
lst_1020,$496564,2610,1,1.0,403.1160914043276,9368,251,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1021,$327422,2291,1,2.5,1400.9059121505777,602,170,0,Modern downtown condo with state-of-the-art kitchen features.
lst_1022,$356752,1886,2,1.5,202.0118334486874,9631,154,1,Modern downtown condo with state-of-the-art kitchen features.
lst_1023,$207525,1520,5,3.0,438.51698765492944,8109,367,0,Luxury penthouse overlooking the city skyline with a private balcony.
lst_1024,$295561,1813,1,2.0,804.2821811996341,17107,347,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1025,$361092,2544,1,1.5,870.3259378028071,11642,437,0,Modern downtown condo with state-of-the-art kitchen features.
lst_1026,$234900,2942,5,2.5,72.20035060901287,17534,72,1,Cozy cottage nestled in the woods near a quiet lake.
lst_1027,$387569,2771,3,1.0,1181.830452440363,17813,225,0,Modern downtown condo with state-of-the-art kitchen features.
lst_1028,$289936,1755,5,1.5,574.3306117168148,13535,275,0,Beautiful family house in the suburbs with a large green garden.
lst_1029,$320830,1440,5,1.5,639.3068844530999,4214,325,0,Beautiful family house in the suburbs with a large green garden.
lst_1030,$289829,2070,3,3.0,1223.5858394335714,13668,314,1,Luxury penthouse overlooking the city skyline with a private balcony.
lst_1031,$535227,1115,5,2.0,599.9609180049396,3467,418,0,Luxury penthouse overlooking the city skyline with a private balcony.
lst_1032,$348650,2161,1,2.0,118.4760709173945,8195,353,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1033,$244228,1926,5,1.0,305.837667182008,5241,24,1,Luxury penthouse overlooking the city skyline with a private balcony.
lst_1034,$432254,1766,3,2.5,1436.0595999628645,4051,293,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1035,$227915,1202,4,1.0,152.08777548364554,14987,493,1,Beautiful family house in the suburbs with a large green garden.
lst_1036,$370886,2256,5,1.5,564.6502414036236,1673,496,1,Beautiful family house in the suburbs with a large green garden.
lst_1037,$154032,1733,2,1.5,779.6097922244496,13459,104,1,Modern downtown condo with state-of-the-art kitchen features.
lst_1038,$217181,1415,1,2.0,765.2571996409121,19118,256,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1039,$369686,563,1,2.5,55.74191736760699,2868,474,0,Beautiful family house in the suburbs with a large green garden.
lst_1040,$423846,1986,2,3.0,776.685960613361,5402,81,1,Beautiful family house in the suburbs with a large green garden.
lst_1041,$367136,2886,2,2.5,606.4700640672434,13846,139,1,Cozy cottage nestled in the woods near a quiet lake.
lst_1042,$338435,2830,5,1.5,1459.515036438108,1311,396,0,Modern downtown condo with state-of-the-art kitchen features.
lst_1043,$319889,1771,2,3.0,280.78067179105324,15545,416,1,Modern downtown condo with state-of-the-art kitchen features.
lst_1044,$202147,1698,4,2.5,563.5235853012678,15915,177,0,Modern downtown condo with state-of-the-art kitchen features.
lst_1045,$278015,2234,3,2.5,658.2481533802386,1260,367,0,Modern downtown condo with state-of-the-art kitchen features.
lst_1046,$303936,1500,2,3.0,616.5056287963757,7141,205,0,Beautiful family house in the suburbs with a large green garden.
lst_1047,$455712,2150,2,1.5,1015.4547000952007,18867,221,1,Cozy cottage nestled in the woods near a quiet lake.
lst_1048,$384361,2383,4,2.5,362.4936434442648,10946,380,0,Cozy cottage nestled in the woods near a quiet lake.
lst_1049,$173695,2613,1,3.0,370.5537515802881,5976,212,0,Beautiful family house in the suburbs with a large green garden.
lst_1050,$382408,1949,1,1.5,1107.355875326237,12989,78,1,Beautiful family house in the suburbs with a large green garden.
